Time,HR
15:50:13,70
15:50:28,70
15:50:43,70
15:50:58,70
15:51:13,70
15:51:28,70
15:51:43,70
15:51:58,70
15:52:13,70
15:52:28,70
15:52:43,70
15:52:58,70
15:53:13,70
15:53:28,70
15:53:43,70
15:53:58,70
15:54:01,70
15:54:16,70
15:54:31,70
15:54:46,70
15:55:01,70
15:55:16,70
15:55:31,70
15:55:46,70
15:56:01,70
15:56:16,70
15:56:31,70
15:56:46,70
15:57:01,70
15:57:16,70
15:57:31,70
15:57:46,70
15:58:01,70
15:58:16,70
15:58:31,70
15:58:46,70
15:59:01,70
15:59:16,70
15:59:31,70
15:59:46,70
16:00:01,70
16:00:16,70
16:00:31,70
16:00:35,70
16:00:50,70
16:01:05,70
16:01:20,70
16:01:35,70
16:01:50,70
16:02:05,77
16:02:10,84
16:02:25,104
16:02:40,104
16:02:45,111
16:02:50,117
16:02:55,123
16:03:00,120
16:03:05,118
16:03:15,119
16:03:20,117
16:03:25,109
16:03:30,110
16:03:35,108
16:03:40,107
16:03:50,105
16:03:55,102
16:04:05,103
16:04:15,104
16:04:22,105
16:04:37,105
16:04:42,106
16:04:47,105
16:04:52,106
16:04:57,101
16:05:02,99
16:05:07,100
16:05:12,101
16:05:22,100
16:05:32,97
16:05:37,97
16:05:42,98
16:05:47,99
16:05:52,98
16:05:57,99
16:06:12,99
16:06:17,97
16:06:22,98
16:06:27,100
16:06:37,102
16:06:42,101
16:06:47,102
16:06:52,99
16:06:57,101
16:07:02,102
16:07:07,106
16:07:13,101
16:07:18,102
16:07:23,105
16:07:28,105
16:07:38,103
16:07:43,100
16:07:48,99
16:07:53,98
16:07:58,98
16:08:03,99
16:08:18,99
16:08:33,99
16:08:38,97
16:08:43,96
16:08:58,99
16:09:03,97
16:09:08,100
16:09:13,99
16:09:18,98
16:09:28,100
16:09:33,98
16:09:38,100
16:09:43,97
16:09:48,98
16:09:53,97
16:10:03,96
16:10:13,95
16:10:20,95
16:10:30,94
16:10:35,92
16:10:40,92
16:10:45,93
16:10:50,91
16:10:55,91
16:11:00,94
16:11:05,96
16:11:15,95
16:11:25,94
16:11:30,93
16:11:40,90
16:11:45,88
16:11:50,88
16:11:55,90
16:12:00,91
16:12:05,92
16:12:10,91
16:12:25,91
16:12:35,98
16:12:40,97
16:12:45,96
16:12:55,95
16:13:00,94
16:13:05,93
16:13:10,94
16:13:18,94
16:18:19,70
16:18:29,103
16:18:34,105
16:18:39,107
16:18:49,106
16:18:54,104
16:18:59,113
16:19:04,116
16:19:14,109
16:19:19,104
16:19:24,101
16:19:29,99
16:19:34,103
16:19:39,107
16:19:44,125
16:19:49,125
16:19:54,111
